Type,Index,Image_Path,Mask_Path
FP,2026,dataset/activefire/images/patches/LC08_L1TP_133015_20200825_20200825_01_RT_p00712.tif,dataset/activefire/masks/voting/LC08_L1TP_133015_20200825_20200825_01_RT_voting_p00712.tif
FP,24902,dataset/activefire/images/patches/LC08_L1TP_121015_20200821_20200821_01_RT_p00555.tif,dataset/activefire/masks/voting/LC08_L1TP_121015_20200821_20200821_01_RT_voting_p00555.tif
FP,38064,dataset/activefire/images/patches/LC08_L1TP_167027_20200823_20200823_01_RT_p00696.tif,dataset/activefire/masks/voting/LC08_L1TP_167027_20200823_20200823_01_RT_voting_p00696.tif
FP,34315,dataset/activefire/images/patches/LC08_L1TP_136015_20200830_20200830_01_RT_p01064.tif,dataset/activefire/masks/voting/LC08_L1TP_136015_20200830_20200830_01_RT_voting_p01064.tif
FP,672,dataset/activefire/images/patches/LC08_L1TP_136015_20200830_20200830_01_RT_p01035.tif,dataset/activefire/masks/voting/LC08_L1TP_136015_20200830_20200830_01_RT_voting_p01035.tif
FN,33298,dataset/activefire/images/patches/LC08_L1TP_118029_20200816_20200816_01_RT_p00562.tif,dataset/activefire/masks/voting/LC08_L1TP_118029_20200816_20200816_01_RT_voting_p00562.tif
FN,5321,dataset/activefire/images/patches/LC08_L1TP_142018_20200824_20200824_01_RT_p00540.tif,dataset/activefire/masks/voting/LC08_L1TP_142018_20200824_20200824_01_RT_voting_p00540.tif
FN,32332,dataset/activefire/images/patches/LC08_L1TP_126052_20200824_20200824_01_RT_p00481.tif,dataset/activefire/masks/voting/LC08_L1TP_126052_20200824_20200824_01_RT_voting_p00481.tif
FN,5158,dataset/activefire/images/patches/LC08_L1TP_121028_20200821_20200821_01_RT_p00854.tif,dataset/activefire/masks/voting/LC08_L1TP_121028_20200821_20200821_01_RT_voting_p00854.tif
FN,28810,dataset/activefire/images/patches/LC08_L1TP_121034_20200821_20200821_01_RT_p00232.tif,dataset/activefire/masks/voting/LC08_L1TP_121034_20200821_20200821_01_RT_voting_p00232.tif
