image,mask
dataset/activefire/images/patches/LC08_L1TP_139014_20200819_20200819_01_RT_p01033.tif,dataset/activefire/masks/voting/LC08_L1TP_139014_20200819_20200819_01_RT_voting_p01033.tif
dataset/activefire/images/patches/LC08_L1TP_195034_20200811_20200812_01_RT_p00772.tif,dataset/activefire/masks/voting/LC08_L1TP_195034_20200811_20200812_01_RT_voting_p00772.tif
dataset/Land8Fire/images/patches/LC08_L1TP_117017_20200926_20200926_01_RT_patch_02048_01280.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_117017_20200926_20200926_01_RT_patch_02048_01280.png
dataset/activefire/images/patches/LC08_L1TP_128014_20200822_20200822_01_RT_p00358.tif,dataset/activefire/masks/voting/LC08_L1TP_128014_20200822_20200822_01_RT_voting_p00358.tif
dataset/activefire/images/patches/LC08_L1TP_118017_20200816_20200816_01_RT_p00707.tif,dataset/activefire/masks/voting/LC08_L1TP_118017_20200816_20200816_01_RT_voting_p00707.tif
dataset/Land8Fire/images/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_03072_06912.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_03072_06912.png
dataset/activefire/images/patches/LC08_L1TP_168073_20200830_20200830_01_RT_p00733.tif,dataset/activefire/masks/voting/LC08_L1TP_168073_20200830_20200830_01_RT_voting_p00733.tif
dataset/activefire/images/patches/LC08_L1TP_138019_20200828_20200828_01_RT_p00712.tif,dataset/activefire/masks/voting/LC08_L1TP_138019_20200828_20200828_01_RT_voting_p00712.tif
dataset/activefire/images/patches/LC08_L1TP_227082_20200811_20200811_01_RT_p00756.tif,dataset/activefire/masks/voting/LC08_L1TP_227082_20200811_20200811_01_RT_voting_p00756.tif
dataset/activefire/images/patches/LC08_L1TP_169078_20200821_20200821_01_RT_p00610.tif,dataset/activefire/masks/voting/LC08_L1TP_169078_20200821_20200821_01_RT_voting_p00610.tif
dataset/activefire/images/patches/LC08_L1TP_165068_20200809_20200809_01_RT_p00198.tif,dataset/activefire/masks/voting/LC08_L1TP_165068_20200809_20200809_01_RT_voting_p00198.tif
dataset/activefire/images/patches/LC08_L1TP_220074_20200810_20200810_01_RT_p00348.tif,dataset/activefire/masks/voting/LC08_L1TP_220074_20200810_20200810_01_RT_voting_p00348.tif
dataset/Land8Fire/images/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_04608_03072.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_04608_03072.png
dataset/activefire/images/patches/LC08_L1TP_103068_20200823_20200823_01_RT_p00585.tif,dataset/activefire/masks/voting/LC08_L1TP_103068_20200823_20200823_01_RT_voting_p00585.tif
dataset/Land8Fire/images/patches/LC08_L1TP_229078_20200926_20200926_01_RT_patch_03840_05632.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_229078_20200926_20200926_01_RT_patch_03840_05632.png
dataset/activefire/images/patches/LC08_L1TP_141020_20200817_20200817_01_RT_p00291.tif,dataset/activefire/masks/voting/LC08_L1TP_141020_20200817_20200817_01_RT_voting_p00291.tif
dataset/activefire/images/patches/LC08_L1TP_167065_20200823_20200823_01_RT_p00799.tif,dataset/activefire/masks/voting/LC08_L1TP_167065_20200823_20200823_01_RT_voting_p00799.tif
dataset/activefire/images/patches/LC08_L1GT_175023_20200815_20200815_01_RT_p00736.tif,dataset/activefire/masks/voting/LC08_L1GT_175023_20200815_20200815_01_RT_voting_p00736.tif
dataset/activefire/images/patches/LC08_L1TP_131015_20200827_20200827_01_RT_p00085.tif,dataset/activefire/masks/voting/LC08_L1TP_131015_20200827_20200827_01_RT_voting_p00085.tif
dataset/Land8Fire/images/patches/LC08_L1TP_045032_20200917_20200917_01_RT_patch_06912_03072.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_045032_20200917_20200917_01_RT_patch_06912_03072.png
dataset/activefire/images/patches/LC08_L1TP_173070_20200817_20200817_01_RT_p00740.tif,dataset/activefire/masks/voting/LC08_L1TP_173070_20200817_20200817_01_RT_voting_p00740.tif
dataset/activefire/images/patches/LC08_L1TP_170070_20200812_20200812_01_RT_p00412.tif,dataset/activefire/masks/voting/LC08_L1TP_170070_20200812_20200812_01_RT_voting_p00412.tif
dataset/activefire/images/patches/LC08_L1TP_120016_20200814_20200814_01_RT_p00414.tif,dataset/activefire/masks/voting/LC08_L1TP_120016_20200814_20200814_01_RT_voting_p00414.tif
dataset/activefire/images/patches/LC08_L1TP_142018_20200824_20200824_01_RT_p00606.tif,dataset/activefire/masks/voting/LC08_L1TP_142018_20200824_20200824_01_RT_voting_p00606.tif
dataset/Land8Fire/images/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_04096_02560.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_04096_02560.png
dataset/activefire/images/patches/LC08_L1TP_167027_20200823_20200823_01_RT_p00728.tif,dataset/activefire/masks/voting/LC08_L1TP_167027_20200823_20200823_01_RT_voting_p00728.tif
dataset/Land8Fire/images/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02304_06144.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02304_06144.png
dataset/Land8Fire/images/patches/LC08_L1TP_045032_20200901_20200901_01_RT_patch_04352_03328.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_045032_20200901_20200901_01_RT_patch_04352_03328.png
dataset/activefire/images/patches/LC08_L1TP_227068_20200811_20200811_01_RT_p00788.tif,dataset/activefire/masks/voting/LC08_L1TP_227068_20200811_20200811_01_RT_voting_p00788.tif
dataset/activefire/images/patches/LC08_L1TP_195034_20200811_20200812_01_RT_p00680.tif,dataset/activefire/masks/voting/LC08_L1TP_195034_20200811_20200812_01_RT_voting_p00680.tif
dataset/activefire/images/patches/LC08_L1TP_170069_20200812_20200812_01_RT_p00848.tif,dataset/activefire/masks/voting/LC08_L1TP_170069_20200812_20200812_01_RT_voting_p00848.tif
dataset/activefire/images/patches/LC08_L1TP_122016_20200828_20200828_01_RT_p00254.tif,dataset/activefire/masks/voting/LC08_L1TP_122016_20200828_20200828_01_RT_voting_p00254.tif
dataset/activefire/images/patches/LC08_L1TP_138018_20200812_20200812_01_RT_p00779.tif,dataset/activefire/masks/voting/LC08_L1TP_138018_20200812_20200812_01_RT_voting_p00779.tif
dataset/activefire/images/patches/LC08_L1TP_138019_20200828_20200828_01_RT_p00713.tif,dataset/activefire/masks/voting/LC08_L1TP_138019_20200828_20200828_01_RT_voting_p00713.tif
dataset/activefire/images/patches/LC08_L1TP_220074_20200810_20200810_01_RT_p00227.tif,dataset/activefire/masks/voting/LC08_L1TP_220074_20200810_20200810_01_RT_voting_p00227.tif
dataset/activefire/images/patches/LC08_L1TP_227072_20200811_20200811_01_RT_p00634.tif,dataset/activefire/masks/voting/LC08_L1TP_227072_20200811_20200811_01_RT_voting_p00634.tif
dataset/activefire/images/patches/LC08_L1TP_130032_20200820_20200820_01_RT_p00788.tif,dataset/activefire/masks/voting/LC08_L1TP_130032_20200820_20200820_01_RT_voting_p00788.tif
dataset/activefire/images/patches/LC08_L1TP_166069_20200816_20200816_01_RT_p00258.tif,dataset/activefire/masks/voting/LC08_L1TP_166069_20200816_20200816_01_RT_voting_p00258.tif
dataset/activefire/images/patches/LC08_L1TP_103068_20200823_20200823_01_RT_p00584.tif,dataset/activefire/masks/voting/LC08_L1TP_103068_20200823_20200823_01_RT_voting_p00584.tif
dataset/Land8Fire/images/patches/LC08_L1TP_046031_20200908_20200908_01_RT_patch_03584_05120.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_046031_20200908_20200908_01_RT_patch_03584_05120.png
dataset/activefire/images/patches/LC08_L1TP_044031_20200825_20200826_01_RT_p00706.tif,dataset/activefire/masks/voting/LC08_L1TP_044031_20200825_20200826_01_RT_voting_p00706.tif
dataset/activefire/images/patches/LC08_L1TP_106069_20200828_20200828_01_RT_p00704.tif,dataset/activefire/masks/voting/LC08_L1TP_106069_20200828_20200828_01_RT_voting_p00704.tif
dataset/activefire/images/patches/LC08_L1TP_128016_20200822_20200822_01_RT_p00362.tif,dataset/activefire/masks/voting/LC08_L1TP_128016_20200822_20200822_01_RT_voting_p00362.tif
dataset/activefire/images/patches/LC08_L1TP_121027_20200821_20200821_01_RT_p00616.tif,dataset/activefire/masks/voting/LC08_L1TP_121027_20200821_20200821_01_RT_voting_p00616.tif
dataset/Land8Fire/images/patches/LC08_L1TP_227071_20200912_20200912_01_RT_patch_01280_04608.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_227071_20200912_20200912_01_RT_patch_01280_04608.png
dataset/Land8Fire/images/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02560_07168.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02560_07168.png
dataset/activefire/images/patches/LC08_L1TP_104068_20200830_20200830_01_RT_p00236.tif,dataset/activefire/masks/voting/LC08_L1TP_104068_20200830_20200830_01_RT_voting_p00236.tif
